index,compounds,rA (A),rB (A),rX (A),vA,vB,vX,eA,eB,eX,a (A)
73,SmCoO3,0.96,0.55,1.4,3,3,-2,1.17,1.88,3.44,3.75
74,SmFeO3,0.96,0.65,1.4,3,3,-2,1.17,1.83,3.44,3.845
75,SmVO 3,0.96,0.64,1.4,3,3,-2,1.17,1.63,3.44,3.89
76,SnTaO3,0.93,0.68,1.4,2,4,-2,1.96,1.5,3.44,3.88
77,SrAmO3,1.18,0.85,1.4,2,4,-2,0.95,1.3,3.44,4.23
78,SrCoO3,1.18,0.53,1.4,2,4,-2,0.95,1.88,3.44,3.85
79,SrFeO3,1.18,0.59,1.4,2,4,-2,0.95,1.83,3.44,3.85
80,SrHfO 3,1.18,0.71,1.4,2,4,-2,0.95,1.3,3.44,4.069
81,SrMnO3,1.18,0.53,1.4,2,4,-2,0.95,1.55,3.44,3.806
82,SrMoO 3,1.18,0.65,1.4,2,4,-2,0.95,2.16,3.44,3.975
83,SrNbO3,1.18,0.68,1.4,2,4,-2,0.95,1.6,3.44,4.016
84,SrPuO3,1.18,0.86,1.4,2,4,-2,0.95,1.28,3.44,4.28
85,SrRuO3,1.18,0.68,1.4,2,4,-2,0.95,2.2,3.44,3.93
86,SrSnO3,1.18,0.69,1.4,2,4,-2,0.95,1.96,3.44,4.034
87,SrTbO3,1.18,0.76,1.4,2,4,-2,0.95,1.22,3.44,4.18
88,SrTcO3,1.18,0.65,1.4,2,4,-2,0.95,1.9,3.44,3.949
89,SrThO3,1.18,0.94,1.4,2,4,-2,0.95,1.3,3.44,4.43
90,SrTiO 3,1.18,0.61,1.4,2,4,-2,0.95,1.54,3.44,3.905
91,SrVO3,1.18,0.61,1.4,2,4,-2,0.95,1.63,3.44,3.89
92,SrZrO3,1.18,0.72,1.4,2,4,-2,0.95,1.33,3.44,4.101
93,YAlO3,0.9,0.54,1.4,3,3,-2,1.22,1.61,3.44,3.68
94,YCrO3,0.9,0.62,1.4,3,3,-2,1.22,1.66,3.44,3.768
95,YFeO3,0.9,0.65,1.4,3,3,-2,1.22,1.83,3.44,3.785
96,AgCoF3,1.15,0.74,1.33,1,2,-1,1.93,1.88,3.98,3.983
97,AgMgF3,1.15,0.72,1.33,1,2,-1,1.93,1.31,3.98,3.918
98,AgMnF3,1.15,0.83,1.33,1,2,-1,1.93,1.55,3.98,4.03
99,AgNiF3,1.15,0.69,1.33,1,2,-1,1.93,1.91,3.98,3.936
100,AgZnF3,1.15,0.74,1.33,1,2,-1,1.93,1.65,3.98,3.972
101,CsCaCl3,1.67,1,1.81,1,2,-1,0.79,1,3.16,5.396
