index,compounds,rA (A),rB(A),rX (A),vA,vB,vX,eA,eB,eX,a (A),b (A),c (A),a (A) [5],b (A) [5],c (A) [5]
,NdFeO3,1.27,0.645,1.4,3,3,-2,1.14,1.83,3.44,5.441,5.573,7.753,5.399,5.421,7.653
,NdVO3,1.27,0.64,1.4,3,3,-2,1.14,1.63,3.44,5.451,5.579,7.734,5.391,5.413,7.641
,NdMnO3,1.27,0.645,1.4,3,3,-2,1.14,1.55,3.44,5.38,5.854,7.557,5.399,5.421,7.653
,NdRhO3,1.27,0.665,1.4,3,3,-2,1.14,2.28,3.44,5.378,5.755,7.775,5.432,5.454,7.7
,NdTiO3,1.27,0.67,1.4,3,3,-2,1.14,1.54,3.44,5.487,5.707,7.765,5.441,5.462,7.712
,NdCoO3,1.27,0.545,1.4,3,3,-2,1.14,1.88,3.44,5.336,5.336,7.547,5.234,5.255,7.419
,NdScO3,1.27,0.745,1.4,3,3,-2,1.14,1.36,3.44,5.574,5.771,7.998,5.565,5.587,7.888
,NdInO3,1.27,0.8,1.4,3,3,-2,1.14,1.78,3.44,5.627,5.891,8.121,5.656,5.678,8.016
,PmCrO3,1.25,0.615,1.4,3,3,-2,1.13,1.66,3.44,5.4,5.49,7.69,5.317,5.338,7.536
,PmScO3,1.25,0.745,1.4,3,3,-2,1.13,1.36,3.44,5.56,5.79,7.94,5.532,5.554,7.841
,PmInO3,1.25,0.8,1.4,3,3,-2,1.13,1.78,3.44,5.7,5.9,8.2,5.622,5.645,7.97
,SmAlO3,1.24,0.535,1.4,3,3,-2,1.17,1.61,3.44,5.285,5.29,7.473,5.168,5.189,7.325
,SmCrO3,1.24,0.615,1.4,3,3,-2,1.17,1.66,3.44,5.367,5.508,7.643,5.3,5.321,7.513
,SmGaO3,1.24,0.62,1.4,3,3,-2,1.17,1.81,3.44,5.369,5.52,7.65,5.308,5.33,7.524
,SmFeO3,1.24,0.645,1.4,3,3,-2,1.17,1.83,3.44,5.394,5.592,7.711,5.35,5.371,7.583
,SmVO3,1.24,0.64,1.4,3,3,-2,1.17,1.63,3.44,5.393,5.588,7.672,5.341,5.363,7.571
,SmMnO 3,1.24,0.645,1.4,3,3,-2,1.17,1.55,3.44,5.359,5.843,7.482,5.35,5.371,7.583
,SmRhO3,1.24,0.665,1.4,3,3,-2,1.17,2.28,3.44,5.321,5.761,7.708,5.383,5.404,7.63
,SmTiO3,1.24,0.67,1.4,3,3,-2,1.17,1.54,3.44,5.468,5.665,7.737,5.391,5.413,7.641
,SmCoO3,1.24,0.545,1.4,3,3,-2,1.17,1.88,3.44,5.289,5.354,7.541,5.184,5.205,7.348
,SmScO3,1.24,0.745,1.4,3,3,-2,1.17,1.36,3.44,5.53,5.76,7.95,5.515,5.537,7.817
,SmInO3,1.24,0.8,1.4,3,3,-2,1.17,1.78,3.44,5.589,5.886,8.082,5.606,5.629,7.946
,EuAlO3,1.23,0.535,1.4,3,3,-2,1.2,1.61,3.44,5.271,5.292,7.458,5.151,5.172,7.302
,EuCrO3,1.23,0.615,1.4,3,3,-2,1.2,1.66,3.44,5.34,5.515,7.622,5.283,5.305,7.489
,EuGaO3,1.23,0.62,1.4,3,3,-2,1.2,1.81,3.44,5.351,5.528,7.628,5.292,5.313,7.501
,EuFeO3,1.23,0.645,1.4,3,3,-2,1.2,1.83,3.44,5.371,5.611,7.686,5.333,5.355,7.559
,EuMnO3,1.23,0.645,1.4,3,3,-2,1.2,1.55,3.44,5.338,5.842,7.453,5.333,5.355,7.559
