index,compounds,rA (A),rB (A),rX (A),vA,vB,vX,eA,eB,eX,a (A),a [Jiang] (A),reference
63,NdMnO3,0.98,0.65,1.4,3,3,-2,1.14,1.55,3.44,3.8,3.872,[1]
64,PrAlO3,0.99,0.54,1.4,3,3,-2,1.13,1.61,3.44,3.757,3.746,[1]
65,PrCrO3,0.99,0.62,1.4,3,3,-2,1.13,1.66,3.44,3.852,3.845,[1]
66,PrFeO 3,0.99,0.65,1.4,3,3,-2,1.13,1.83,3.44,3.887,3.877,[1]
67,PrGaO3,0.99,0.62,1.4,3,3,-2,1.13,1.81,3.44,3.863,3.845,[1]
68,PrMnO3,0.99,0.65,1.4,3,3,-2,1.13,1.55,3.44,3.82,3.877,[1]
69,PrVO3,0.99,0.64,1.4,3,3,-2,1.13,1.63,3.44,3.89,3.871,[1]
70,RbPaO 3,1.52,0.78,1.4,1,5,-2,0.82,1.5,3.44,4.368,4.311,[1]
71,RbUO3,1.52,0.76,1.4,1,5,-2,0.82,1.38,3.44,4.323,4.286,[1]
72,SmAlO3,0.96,0.54,1.4,3,3,-2,1.17,1.61,3.44,3.734,3.729,[1]
73,SmCoO3,0.96,0.55,1.4,3,3,-2,1.17,1.88,3.44,3.75,3.742,[1]
74,SmFeO3,0.96,0.65,1.4,3,3,-2,1.17,1.83,3.44,3.845,3.861,[1]
75,SmVO 3,0.96,0.64,1.4,3,3,-2,1.17,1.63,3.44,3.89,3.855,[1]
76,SnTaO3,0.93,0.68,1.4,2,4,-2,1.96,1.5,3.44,3.88,3.892,[1]
77,SrAmO3,1.18,0.85,1.4,2,4,-2,0.95,1.3,3.44,4.23,4.24,[1]
78,SrCoO3,1.18,0.53,1.4,2,4,-2,0.95,1.88,3.44,3.85,3.837,[1]
79,SrFeO3,1.18,0.59,1.4,2,4,-2,0.95,1.83,3.44,3.85,3.908,[1]
80,SrHfO 3,1.18,0.71,1.4,2,4,-2,0.95,1.3,3.44,4.069,4.056,[1]
81,SrMnO3,1.18,0.53,1.4,2,4,-2,0.95,1.55,3.44,3.806,3.837,[1]
82,SrMoO 3,1.18,0.65,1.4,2,4,-2,0.95,2.16,3.44,3.975,3.981,[1]
83,SrNbO3,1.18,0.68,1.4,2,4,-2,0.95,1.6,3.44,4.016,4.018,[1]
84,SrPuO3,1.18,0.86,1.4,2,4,-2,0.95,1.28,3.44,4.28,4.253,[1]
85,SrRuO3,1.18,0.68,1.4,2,4,-2,0.95,2.2,3.44,3.93,,[3]
86,SrSnO3,1.18,0.69,1.4,2,4,-2,0.95,1.96,3.44,4.034,4.031,[1]
87,SrTbO3,1.18,0.76,1.4,2,4,-2,0.95,1.22,3.44,4.18,4.121,[1]
88,SrTcO3,1.18,0.65,1.4,2,4,-2,0.95,1.9,3.44,3.949,3.981,[1]
89,SrThO3,1.18,0.94,1.4,2,4,-2,0.95,1.3,3.44,4.43,–,[1]
90,SrTiO 3,1.18,0.61,1.4,2,4,-2,0.95,1.54,3.44,3.905,3.932,[1]
91,SrVO3,1.18,0.61,1.4,2,4,-2,0.95,1.63,3.44,3.89,3.932,[1]
92,SrZrO3,1.18,0.72,1.4,2,4,-2,0.95,1.33,3.44,4.101,4.069,[1]
93,YAlO3,0.9,0.54,1.4,3,3,-2,1.22,1.61,3.44,3.68,3.697,[1]
94,YCrO3,0.9,0.62,1.4,3,3,-2,1.22,1.66,3.44,3.768,3.798,[1]
95,YFeO3,0.9,0.65,1.4,3,3,-2,1.22,1.83,3.44,3.785,3.831,[1]
96,AgCoF3,1.15,0.74,1.33,1,2,-1,1.93,1.88,3.98,3.983,3.955,[1]
97,AgMgF3,1.15,0.72,1.33,1,2,-1,1.93,1.31,3.98,3.918,3.93,[1]
98,AgMnF3,1.15,0.83,1.33,1,2,-1,1.93,1.55,3.98,4.03,4.072,[1]
99,AgNiF3,1.15,0.69,1.33,1,2,-1,1.93,1.91,3.98,3.936,3.892,[1]
100,AgZnF3,1.15,0.74,1.33,1,2,-1,1.93,1.65,3.98,3.972,3.955,[1]
101,CsCaCl3,1.67,1,1.81,1,2,-1,0.79,1,3.16,5.396,5.391,[1]
102,CsCaF3,1.67,1,1.33,1,2,-1,0.79,1,3.98,4.523,4.539,[1]
103,CsCdCl3,1.67,0.95,1.81,1,2,-1,0.79,1.69,3.16,5.21,5.321,[1]
104,CsCdF3,1.67,0.95,1.33,1,2,-1,0.79,1.69,3.98,4.47,4.475,[1]
105,CsEuCl3,1.67,1.17,1.81,1,2,-1,0.79,1.2,3.16,5.627,5.637,[1]
