5.792000,5.814000,8.196000
5.380000,5.854000,7.557000
5.540000,5.540000,7.830000
5.188000,5.505000,7.484000
5.519000,5.751000,8.041000
5.306000,5.647000,7.607000
5.723000,5.914000,8.207000
5.775000,5.905000,8.250000
5.678000,5.787000,8.098000
5.275000,5.828000,7.375000
5.243000,5.519000,7.538000
5.468000,5.665000,7.737000
5.451000,5.579000,7.734000
5.298000,5.761000,7.680000
5.262000,5.604000,7.578000
5.487000,5.707000,7.765000
5.210000,5.310000,7.380000
5.479000,5.484000,7.718000
5.568000,5.732000,7.984000
5.289000,5.354000,7.541000
5.254000,5.749000,7.623000
5.293000,5.633000,7.598000
5.860000,5.958000,8.331000
5.213000,5.547000,7.565000
5.150000,5.330000,7.290000
6.024000,6.065000,8.506000
5.251000,5.531000,7.536000
5.499000,5.724000,7.798000
5.473000,5.526000,7.767000
5.120000,5.330000,7.310000
5.580000,5.600000,7.890000
5.530000,5.570000,7.847000
5.208000,5.510000,7.490000
5.209000,5.508000,7.500000
5.245000,5.731000,7.600000
5.361000,5.659000,7.647000
5.530000,5.760000,7.950000
5.282000,5.534000,7.556000
5.587000,5.758000,8.008000
5.388000,5.648000,7.676000
5.479000,5.515000,7.753000
5.545000,5.787000,7.575000
5.510000,5.570000,7.770000
5.291000,5.518000,7.576000
5.556000,5.565000,7.862000
5.224000,5.515000,7.505000
5.322000,5.347000,7.481000
5.487000,5.756000,7.925000
5.475000,5.475000,7.740000
5.519000,5.668000,7.885000
5.877000,6.087000,8.493000
5.240000,5.820000,7.335000
6.010000,6.170000,8.600000
5.179000,5.329000,7.370000
5.230000,5.726000,7.582000
5.360000,5.530000,7.670000
5.513000,5.757000,7.801000
5.271000,5.292000,7.458000
5.700000,5.900000,8.200000
5.331000,5.373000,7.587000
5.519000,5.536000,7.819000
5.394000,5.592000,7.711000
5.425000,5.478000,7.694000
5.529000,5.662000,7.715000
5.307000,5.531000,7.578000
5.203000,5.697000,7.543000
5.283000,5.592000,7.603000
5.220000,5.280000,7.410000
5.820000,5.920000,8.360000
5.313000,5.853000,7.432000
5.458000,5.490000,7.733000
5.302000,5.602000,7.601000
5.255000,5.831000,7.354000
5.346000,5.616000,7.668000
5.318000,5.657000,7.613000
5.270000,5.275000,7.464000
5.336000,5.336000,7.547000
5.431000,5.499000,7.710000
5.560000,5.790000,7.940000
5.180000,5.330000,7.360000
5.589000,5.886000,8.082000
5.216000,5.712000,7.561000
5.195000,5.510000,7.490000
5.277000,5.761000,7.658000
5.986000,6.125000,8.531000
5.247000,5.304000,7.447000
5.627000,5.891000,8.121000
5.326000,5.352000,7.547000
5.302000,5.598000,7.623000
5.450000,5.580000,7.800000
5.321000,5.761000,7.708000
5.367000,5.508000,7.643000
5.160000,5.320000,7.330000
5.486000,5.486000,7.740000
5.494000,5.513000,7.751000
5.322000,5.537000,7.606000
5.510000,5.760000,7.940000
5.263000,5.582000,7.591000
5.285000,5.290000,7.473000
5.548000,5.842000,8.071000
5.533800,5.654100,7.913100
5.351000,5.528000,7.628000
5.574000,5.771000,7.998000
5.431000,5.712000,7.894000
5.186000,5.670000,7.512000
5.407000,5.667000,7.692000
5.495000,5.578000,7.810000
5.393000,5.588000,7.672000
5.338000,5.842000,7.453000
5.414000,5.747000,7.803000
5.278000,5.591000,7.602000
5.223000,5.516000,7.519000
5.233000,5.557000,7.570000
5.381000,5.443000,7.645000
5.239000,5.527000,7.522000
5.369000,5.520000,7.650000
5.260000,5.830000,7.360000
5.359000,5.843000,7.482000
5.340000,5.665000,7.624000
