Solids,rA,rB,rX,vA,vB,vX,EA,EB,EX,a,b,c
SmVO3,0.958,0.64,1.35,3,3,-2,1.17,1.63,3.44,5.393,5.588,7.672
SmMnO3,0.958,0.645,1.35,3,3,-2,1.17,1.55,3.44,5.359,5.843,7.482
SmRhO3,0.958,0.665,1.35,3,3,-2,1.17,2.28,3.44,5.321,5.761,7.708
SmTiO3,0.958,0.67,1.35,3,3,-2,1.17,1.54,3.44,5.468,5.665,7.737
SmCoO3,0.958,0.545,1.35,3,3,-2,1.17,1.88,3.44,5.289,5.354,7.541
SmScO3,0.958,0.745,1.35,3,3,-2,1.17,1.36,3.44,5.53,5.76,7.95
SmInO3,0.958,0.8,1.35,3,3,-2,1.17,1.78,3.44,5.589,5.886,8.082
EuAlO3,0.947,0.535,1.35,3,3,-2,1.2,1.61,3.44,5.271,5.292,7.458
EuCrO3 ,0.947,0.615,1.35,3,3,-2,1.2,1.66,3.44,5.34,5.515,7.622
EuGaO3,0.947,0.62,1.35,3,3,-2,1.2,1.81,3.44,5.351,5.528,7.628
EuFeO3,0.947,0.645,1.35,3,3,-2,1.2,1.83,3.44,5.371,5.611,7.686
EuMnO3,0.947,0.645,1.35,3,3,-2,1.2,1.55,3.44,5.338,5.842,7.453
EuRhO3,0.947,0.665,1.35,3,3,-2,1.2,2.28,3.44,5.298,5.761,7.68
EuScO3,0.947,0.745,1.35,3,3,-2,1.2,1.36,3.44,5.51,5.76,7.94
EuInO3,0.947,0.8,1.35,3,3,-2,1.2,1.78,3.44,5.567,5.835,8.078
GdAlO3,0.938,0.535,1.35,3,3,-2,1.2,1.61,3.44,5.247,5.304,7.447
GdCrO3,0.938,0.615,1.35,3,3,-2,1.2,1.66,3.44,5.312,5.525,7.606
GdGaO3,0.938,0.62,1.35,3,3,-2,1.2,1.81,3.44,5.322,5.537,7.606
GdFeO3,0.938,0.645,1.35,3,3,-2,1.2,1.83,3.44,5.346,5.616,7.668
GdVO3,0.938,0.64,1.35,3,3,-2,1.2,1.63,3.44,5.343,5.614,7.637
GdMnO3,0.938,0.645,1.35,3,3,-2,1.2,1.55,3.44,5.313,5.853,7.432
GdRhO3,0.938,0.665,1.35,3,3,-2,1.2,2.28,3.44,5.277,5.761,7.658
GdTiO3,0.938,0.67,1.35,3,3,-2,1.2,1.54,3.44,5.407,5.667,7.692
GdCoO3,0.938,0.545,1.35,3,3,-2,1.2,1.88,3.44,5.228,5.404,7.436
GdScO3,0.938,0.745,1.35,3,3,-2,1.2,1.36,3.44,5.487,5.756,7.925
GdInO3,0.938,0.8,1.35,3,3,-2,1.2,1.78,3.44,5.548,5.842,8.071
